"Questão 1 - FGV Style (SRP-PE)","De acordo com o Decreto Estadual nº 54.700/2023, que regulamenta o sistema de registro de preços (SRP) em Pernambuco, a Ata de Registro de Preços (ARP) é corretamente definida como:","(A) a modalidade de licitação utilizada para a contratação de serviços e compras de grande vulto, que vincula a administração à contratação total do objeto.","(B) o procedimento auxiliar de licitação que formaliza os preços de todos os licitantes que participaram do certame, permitindo que a administração escolha o fornecedor mais conveniente a cada contratação.","(C) o documento vinculativo e obrigacional, com característica de compromisso para futura contratação, no qual são registrados o objeto, os quantitativos, os preços, os detentores e as condições a serem praticadas.","(D) o contrato administrativo preliminar que estabelece as condições para a participação de órgãos não participantes (caronas), sendo sua assinatura facultativa para o licitante vencedor.","(E) o catálogo de preços máximos admitidos pela administração para contratações diretas, dispensando a necessidade de licitação para os itens nele registrados.","C","A alternativa C apresenta a definição precisa e completa de Ata de Registro de Preços, conforme o Art. 2º, inciso II, do Decreto nº 54.700/2023. As demais alternativas contêm erros conceituais: A confunde a ARP com uma modalidade e erra ao afirmar a obrigação de contratar o total; B descreve incorretamente a finalidade do registro; D confunde a natureza da ARP com um contrato preliminar e erra sobre a facultatividade da assinatura; E descreve um catálogo de preços para contratação direta, o que não é a finalidade principal do SRP.","Licitações e Contratos","Decreto Estadual nº 54.700/2023 (SRP-PE)"
"Questão 2 - FGV Style (SRP-PE)","A Secretaria de Saúde do Estado de Pernambuco atuou como órgão gerenciador em um procedimento para registro de preços de medicamentos. A Secretaria de Educação manifestou interesse durante a fase de Intenção de Registro de Preços (IRP) e teve suas quantidades consolidadas na ata. Após a homologação, o Hospital da Restauração, que não participou dos procedimentos iniciais, solicitou a utilização do saldo da ata. Conforme as definições do Decreto nº 54.700/2023, a Secretaria de Saúde, a Secretaria de Educação e o Hospital da Restauração são, respectivamente:","(A) gerenciador, participante e detentor da ata.","(B) gerenciador, participante e não participante (aderente).","(C) participante, gerenciador e não participante (aderente).","(D) contratante, participante e interessado.","(E) gerenciador, contratante e carona.","B","De acordo com o Art. 2º do Decreto nº 54.700/2023: o órgão que conduz o procedimento e gerencia a ata é o 'gerenciador' (Secretaria de Saúde); o órgão que participa dos procedimentos iniciais e integra a ata é o 'participante' (Secretaria de Educação); e o órgão que não participa dos procedimentos iniciais e realiza a adesão posterior é o 'não participante' (Hospital da Restauração). A alternativa B é a única que correlaciona corretamente os atores às suas definições legais.","Licitações e Contratos","Decreto Estadual nº 54.700/2023 (SRP-PE)"
"Questão 3 - FGV Style (SRP-PE)","Um gestor da administração direta do Estado de Pernambuco, ao planejar uma licitação para formação de registro de preços, foi questionado pelo órgão de controle interno sobre a ausência de dotação orçamentária específica para cobrir a totalidade do valor estimado da futura ata. Com base no Decreto nº 54.700/2023, a conduta do gestor e o questionamento do controle estão, respectivamente:","(A) irregular e procedente, pois toda licitação, inclusive para SRP, exige prévia dotação orçamentária.","(B) regular e improcedente, pois no sistema de registro de preços a dotação orçamentária somente é exigida para a formalização do contrato ou instrumento equivalente, e não para o procedimento licitatório.","(C) regular e procedente, pois embora a dotação não seja exigida, o gestor deveria ter apresentado uma declaração de disponibilidade futura, o que não ocorreu.","(D) irregular e improcedente, pois a dotação orçamentária é dispensada apenas em casos de compras emergenciais, não se aplicando ao SRP ordinário.","(E) regular e parcialmente procedente, pois a dotação é exigida apenas em valor simbólico para a abertura do processo, e não no valor total.","B","O Art. 6° do Decreto nº 54.700/2023 é explícito ao afirmar que 'No sistema de registro de preços não é necessária a apresentação da dotação orçamentária, que somente é exigida para a formalização do contrato ou outro instrumento hábil'. Esta é uma das características fundamentais do SRP, que visa registrar preços para contratações futuras e eventuais, cuja demanda orçamentária ainda não está consolidada no momento da licitação. Portanto, a conduta do gestor está correta e o questionamento do controle é improcedente.","Licitações e Contratos","Decreto Estadual nº 54.700/2023 (SRP-PE)"
"Questão 4 - FGV Style (SRP-PE)","O Estado de Pernambuco formalizou uma Ata de Registro de Preços para aquisição de 1.000 (mil) computadores. Um município pernambucano, que não participou do certame, deseja aderir à ata ('pegar carona'). De acordo com os limites estabelecidos no Decreto nº 54.700/2023, qual é a quantidade máxima que este município pode adquirir e qual é o limite total de adesões para este item da ata?","(A) O município pode adquirir até 250 computadores (25%), e a soma de todas as adesões não pode exceder 1.000 computadores (100% do quantitativo original).","(B) O município pode adquirir até 500 computadores (50%), e a soma de todas as adesões não pode exceder 2.000 computadores (o dobro do quantitativo original).","(C) O município pode adquirir até 1.000 computadores (100%), desde que seja o primeiro a solicitar a adesão, e a soma total de adesões não pode exceder 1.000 computadores.","(D) O município pode adquirir até 500 computadores (50%), e a soma de todas as adesões não pode exceder 1.000 computadores (100% do quantitativo original).","(E) O município pode adquirir até 100 computadores (10%), e não há limite para a soma total de adesões.","B","O Art. 25 do Decreto nº 54.700/2023 estabelece dois limites cumulativos para a adesão por não participantes: I - a adesão de cada órgão ou entidade não poderá exceder a 50% (cinquenta por cento) dos quantitativos registrados na ata; e II - a soma de todas as adesões não poderá exceder em sua totalidade ao dobro do quantitativo de cada item registrado. Portanto, o município pode solicitar até 500 computadores, e o total de adesões de todos os 'caronas' não pode ultrapassar 2.000 unidades.","Licitações e Contratos","Decreto Estadual nº 54.700/2023 (SRP-PE)"
"Questão 5 - FGV Style (SRP-PE)","Após a celebração de um contrato decorrente de uma Ata de Registro de Preços, o gestor de uma autarquia estadual verificou a necessidade de adquirir uma quantidade adicional do bem, correspondente a 20% do quantitativo contratado. Ele pretende realizar um termo aditivo ao contrato, aplicando por analogia a regra de acréscimos quantitativos da Lei nº 14.133/2021. À luz do Decreto nº 54.700/2023, essa conduta é:","(A) permitida, pois a Lei nº 14.133/2021 se aplica subsidiariamente aos contratos decorrentes do SRP, autorizando acréscimos de até 25%.","(B) permitida, desde que haja prévia autorização do órgão gerenciador da ata e do detentor do registro.","(C) vedada, pois é expressamente proibido efetuar acréscimos nos quantitativos estabelecidos na ata de registro de preços.","(D) vedada para acréscimos, mas permitida para supressões de até 25% do valor do contrato.","(E) permitida apenas para contratos de serviços contínuos, não se aplicando a contratos de fornecimento de bens.","C","O Art. 23 do Decreto nº 54.700/2023 estabelece de forma categórica: 'É vedado efetuar acréscimos nos quantitativos ou no valor máximo da despesa estabelecidos na ata de registro de preços'. Esta é uma regra fundamental do SRP, que o diferencia dos contratos ordinários. A necessidade de maior quantidade deve ser suprida por uma nova licitação ou por um novo consumo do saldo da ata, se houver, mas nunca por aditivo de acréscimo ao contrato já formalizado.","Licitações e Contratos","Decreto Estadual nº 54.700/2023 (SRP-PE)"
"Questão 6 - FGV Style (SRP-PE)","Conforme o Decreto nº 54.700/2023, o prazo de vigência da ata de registro de preços e a possibilidade de sua prorrogação são regidos por regras específicas. Assinale a alternativa correta sobre o tema.","(A) O prazo de vigência será de, no máximo, 1 (um) ano, vedada a prorrogação.","(B) O prazo de vigência será de 1 (um) ano, e poderá ser prorrogado, uma única vez, por igual período, desde que seja comprovada a vantajosidade dos preços registrados.","(C) O prazo de vigência será de 2 (dois) anos, permitida a renovação das quantidades por igual período.","(D) O prazo de vigência é indeterminado, enquanto os preços registrados se mantiverem vantajosos para a administração.","(E) O prazo de vigência será de 1 (um) ano, podendo ser prorrogado sucessivamente, até o limite de 5 (cinco) anos, como nos contratos de serviço contínuo.","B","O Art. 20 do Decreto nº 54.700/2023 dispõe que 'O prazo de vigência da ata de registro de preços será de 1 (um) ano, a contar de sua assinatura, e poderá ser prorrogado por igual período, desde que seja comprovada a vantajosidade dos preços registrados...'. O parágrafo único do mesmo artigo ainda esclarece que, no caso de prorrogação, as quantidades registradas poderão ser renovadas. As demais alternativas apresentam prazos ou condições incorretas.","Licitações e Contratos","Decreto Estadual nº 54.700/2023 (SRP-PE)"
"Questão 7 - FGV Style (SRP-PE)","O procedimento público de Intenção de Registro de Preços (IRP), previsto no Art. 7º do Decreto nº 54.700/2023, é etapa fundamental na fase preparatória de uma licitação para SRP. Sobre a IRP, é correto afirmar que:","(A) é um procedimento sigiloso, destinado a consultar previamente o mercado sobre a viabilidade de preços para o futuro certame.","(B) é um procedimento obrigatório em todos os casos, com prazo fixo e improrrogável de 10 (dez) dias úteis para manifestação de interesse dos órgãos.","(C) pode ser justificadamente dispensada quando o objeto for de interesse restrito ao gerenciador ou o atendimento da demanda for incompatível com o seu trâmite.","(D) tem como objetivo principal selecionar previamente os fornecedores que poderão participar da licitação, funcionando como uma pré-qualificação.","(E) visa permitir a participação de órgãos 'caronas' na ata, que devem manifestar seu interesse já nesta fase inicial.","C","O § 2º do Art. 7º do Decreto nº 54.700/2023 estabelece que 'A IRP poderá ser justificadamente dispensada quando o objeto for de interesse restrito ao gerenciador ou o atendimento da demanda for incompatível com o seu trâmite'. A IRP é pública, e não sigilosa (A); seu prazo mínimo é de 8 dias úteis e pode ser prorrogado (B); não seleciona fornecedores (D); e destina-se a consolidar a demanda dos órgãos participantes, não dos 'caronas' (E).","Licitações e Contratos","Decreto Estadual nº 54.700/2023 (SRP-PE)"
"Questão 8 - FGV Style (SRP-PE)","O edital de licitação para registro de preços, segundo o Art. 9º do Decreto nº 54.700/2023, deve dispor sobre diversas matérias. Assinale a alternativa que apresenta uma exigência que NÃO precisa, obrigatoriamente, constar do edital.","(A) A estimativa da quantidade máxima de cada item a ser adquirido pelos participantes.","(B) A estimativa de quantidades e limites de adesão de não participantes, quando admitida.","(C) A possibilidade de o licitante oferecer proposta em quantitativo inferior ao máximo previsto no edital.","(D) A dotação orçamentária detalhada para a cobertura integral de todas as possíveis contratações futuras.","(E) O prazo de vigência da ata e a possibilidade de prorrogação e de renovação dos quantitativos registrados.","D","Conforme já estabelecido pelo Art. 6º do mesmo Decreto, a dotação orçamentária não é necessária na fase de licitação do SRP, mas apenas no momento da contratação. Portanto, o edital não precisa conter essa informação, que seria inclusive inviável, já que as contratações são futuras e eventuais. Todos os demais itens (A, B, C e E) são elementos que, conforme o Art. 9º, devem constar no edital, seja como obrigação ou como possibilidade a ser regulada.","Licitações e Contratos","Decreto Estadual nº 54.700/2023 (SRP-PE)"
"Questão 9 - FGV Style (SRP-PE)","Uma mesma empresa venceu, em uma licitação para SRP, dois lotes 'espelhados' (idênticos em objeto e especificações) com preços diferentes. De acordo com o Art. 15 do Decreto nº 54.700/2023, qual deve ser a providência do agente de contratação?","(A) Manter os preços distintos, pois foram ofertados em lotes diferentes, e a contratação deverá seguir o preço do respectivo lote.","(B) Cancelar o lote com o preço mais alto, adjudicando apenas o lote mais vantajoso para a Administração.","(C) Convocar o segundo colocado do lote mais caro para que ele cubra a oferta do vencedor daquele lote.","(D) Negociar com a empresa vencedora a equiparação dos preços aos valores mais vantajosos, buscando um preço único para ambos os lotes.","(E) Homologar ambos os lotes com os preços ofertados, mas determinar que a contratação se inicie, obrigatoriamente, pelo lote de menor preço.","D","O Art. 15 do decreto é claro: 'Na situação de uma mesma licitante vencer mais de um item/lote espelhado [...] com preços diferentes, deverá o agente de contratação, após a declaração dos vencedores, negociar a equiparação dos preços aos valores mais vantajosos'. O objetivo é garantir a economicidade, aplicando o melhor preço obtido pela própria empresa a todos os itens/lotes idênticos que ela venceu.","Licitações e Contratos","Decreto Estadual nº 54.700/2023 (SRP-PE)"
"Questão 10 - FGV Style (SRP-PE)","Durante a vigência de uma Ata de Registro de Preços, o órgão gerenciador constatou que o preço registrado de um determinado item tornou-se significativamente superior ao praticado no mercado. O detentor da ata, convocado para negociar, recusou-se a reduzir o preço. Conforme o Art. 32 do Decreto nº 54.700/2023, a consequência dessa recusa é:","(A) a aplicação de multa por inexecução contratual e a execução da garantia.","(B) a instauração de processo para declaração de inidoneidade do detentor da ata.","(C) o cancelamento do registro de preços daquele item, a liberação do detentor da ata quanto ao compromisso e a convocação do cadastro de reserva, sem aplicação de penalidades administrativas pela recusa.","(D) a manutenção do registro, mas o órgão gerenciador fica proibido de autorizar novas contratações com base naquele preço.","(E) a rescisão automática de todos os contratos já firmados com base na ata, devendo os órgãos participantes realizarem nova licitação.","C","O Art. 32, § 2º, estabelece que 'A recusa do detentor em reduzir seus preços aos valores praticados no mercado implicará o cancelamento, parcial ou integral, do registro de preços e a liberação do detentor da ata quanto ao item registrado, sem aplicação de penalidades administrativas'. O § 3º complementa que, nesse caso, o gerenciador poderá convocar os integrantes do cadastro de reserva. A recusa em negociar a redução de preço, quando este se torna superior ao de mercado, não é considerada uma infração passível de sanção.","Licitações e Contratos","Decreto Estadual nº 54.700/2023 (SRP-PE)"
